Species,X,Y
Bison,-641964.6407,995446.7775
Bison,-906279.8783,-278305.692
Bison,-748350.2392,563714.2054
Bison,-207187.4268,750734.2609
Bison,-249651.2885,-373874.4715
Bison,-803996.0937,479543.6486
Bison,-790673.2054,882975.2391
Bison,-120729.8306,715153.6093
Bison,-731583.8369,-250679.7749
Bison,-515702.2813,-28866.6903
Bison,-963188.7139,293579.8762
Bison,-1046210.918,130695.8065
Bison,22306.7576,510114.0591
Bison,-1134250.801,1075750.551
Bison,-667659.6359,1761358.597
Bison,-924206.892,-44733.9462
Bison,-848865.6709,333463.3865
Bison,-693122.1143,1776678.231
Bison,-553185.1797,804199.7926
Bison,-1001811.628,821677.2898
Bison,-334920.4871,269826.6544
Bison,-1063728.989,854267.6186
Bison,-811365.2338,129203.3991
Bison,-983194.3174,779385.5438
Bison,-603177.8253,-181783.1658
Bison,-823482.2241,-180330.2486
Bison,-845286.3132,788267.6904
Bison,-675072.2994,1782315.929
Bison,-939715.815,883889.8808
Bison,-57558.6468,487351.8555
Bison,-864739.307,331780.6167
Bison,-708491.2941,1858893.5
Bison,-439228.048,892149.1729
Bison,-880411.3693,-283998.0082
Bison,-561761.0547,643141.9206
Bison,-579694.5041,-194429.5082
Bison,-911984.1692,-287850.6544
Bison,-26850.3888,455438.5249
Bison,-1166328.52,1065104.725
Bison,-1028192.858,841821.2218
Bison,-740686.7884,561980.9566
Bison,-965677.304,-71176.2844
Bison,-643179.0472,995869.827
Bison,-944866.523,-283.4005
Bison,-506382.4218,813142.1482
Bison,-807630.2611,564936.9375
Bison,-1083837.937,-188706.3977
Bison,-308740.3369,881551.5772
Bison,-933612.3098,-220688.6705
Bison,-367136.7702,782297.0428
Bison,-1044154.111,1033019.004
Bison,-846581.9762,331210.6688
Bison,-992749.7748,804502.5666
Bison,-966880.5557,978091.677
Bison,-448590.912,85940.843
Bison,-319217.7409,-338896.8699
Bison,-966535.2228,987223.4566
Bison,-483990.3341,728497.0194
Bison,-430256.9789,867771.4571
Bison,-1062306.944,297670.9187
Bison,-930223.437,-90136.7283
Bison,-528922.8184,164268.7629
Bison,-536981.2209,655639.5737
Bison,-668269.2942,1550290.529
Bison,-1176315.138,1063929.054
Bison,-1001985.613,-126211.9982
Bison,-254926.8888,769599.8158
Bison,-484921.4802,757768.981
Bison,-391578.3197,885815.2562
Bison,23310.53,-478074.6742
Bison,-449361.2965,684124.7799
Bison,-782338.3615,590480.6927
Bison,-904620.1785,-258363.9169
Bison,-925068.0776,922613.3643
Bison,-441908.9106,891653.9768
Bison,-769607.0012,541363.2221
Bison,-1044796.746,126293.0599
Bison,-460871.6845,799919.4348
Bison,23166.7845,511946.3127
Bison,-508880.0355,844445.8002
Bison,-156334.3704,287433.7644
Bison,-457556.7971,90942.1657
Bison,-654750.5667,-271267.9986
Bison,-328958.2628,-331538.3397
Bison,-424386.2018,84091.7732
Bison,-835927.0387,339381.0162
Bison,-863001.9755,1201646.379
Bison,-938074.8298,158929.2051
Bison,-500551.1399,327939.5235
Bison,-937284.7568,-169428.798
Bison,200409.1987,545148.1306
Bison,-562476.92,799806.8055
Bison,-639118.4163,855908.0012
Bison,-1027270.761,1285473.407
Bison,-1050293.254,50202.4413
Bison,-402940.1711,924193.5545
Bison,-868156.423,889355.0364
Bison,-908288.9756,347580.6076
Bison,-1049637.038,-146144.5544
Bison,23412.7922,508139.6524
Bison,-52891.1094,344618.4678
Bison,-568466.6002,686045.088
Bison,-1153901.138,1352785.803
Bison,-935521.0985,-165902.0511
Bison,-1194500.886,1470718.889
Bison,27272.2238,-481679.8859
Bison,-986574.7624,104008.0795
Bison,-1115774.532,919352.2449
Bison,-571879.1747,662822.8983
Bison,-1023253.726,858110.2974
Bison,-100039.3414,606946.8944
Bison,-519026.6984,91078.3408
Bison,-304986.1981,840016.6684
Bison,-669167.4305,345670.5325
Bison,-463871.6805,694392.1593
Bison,-779588.2912,-211935.6117
Bison,-1056021.269,853213.5872
Bison,-719697.2956,-241662.7808
Bison,-1048381.906,142821.7433
Bison,-659211.1019,1518391.388
Bison,-693572.8299,703803.3728
Bison,-1200497.033,1035912.971
Bison,-1205218.079,1016545.927
Bison,-1073330.694,941706.5578
Bison,-71255.7567,220944.3403
Bison,-840728.2564,924496.0883
Bison,-619293.4831,318880.742
Bison,-1002988.375,86363.1151
Bison,-1115193.7,903251.2307
Bison,-369495.8097,-511012.3102
Bison,-1041991.035,77273.6746
Bison,-982666.0391,125420.0378
Bison,-997778.8631,-45665.2082
Bison,-689082.7465,1842244.892
Bison,-890509.0999,165949.3185
Bison,-800895.6771,1184417.148
Bison,-937646.1181,30070.0401
Bison,-913264.8963,116664.2181
Bison,-1087041.794,-191236.6978
Bison,-949474.5586,484593.4379
Bison,-708490.9357,1815330.527
Bison,-978290.0871,-120999.901
Bison,-79496.3023,-421130.417
Bison,-419988.5362,855301.8808
Bison,-211950.4752,351407.8073
Bison,-675817.0898,1785451.132
Bison,-505325.1845,820401.2449
Bison,-1102907.01,929186.5601
Bison,-1027096.492,-177598.0983
Bison,-303201.9713,832273.0968
Bison,-1045637.906,124659.8018
Bison,-656204.4059,1307428.749
Bison,-1020827.125,83797.5419
Bison,-478690.7839,-220516.2559
Bison,-1058909.648,160329.7497
Bison,-888234.36,807398.6807
Bison,-1087534.66,-28339.2633
Bison,-697823.3205,1773899.979
Bison,-1119828.42,-85577.1752
Bison,-356539.6931,780886.1194
Bison,-814819.7872,-186653.7619
Bison,-575610.74,154817.1038
Bison,-1023047.026,83990.768
Bison,-662374.2328,1746885.454
Bison,-747350.445,1826247.106
Bison,-915846.2211,63248.6572
Bison,-873983.8011,888410.4223
Bison,-310783.5264,882255.6642
Bison,-906333.845,-55151.4167
Bison,-1038131.37,85740.4827
Bison,-1034262.585,79019.782
Bison,-555325.0694,-71580.249
Bison,-475552.7914,-735.8399
Bison,-719222.5711,1789942.637
Bison,-185252.1879,737748.8379
Bison,-410721.5223,-289229.5913
Bison,-809783.5471,-134931.8426
Bison,-240368.5316,-155179.2389
Bison,-369766.0081,884775.9308
Bison,-512484.5243,811573.3954
Bison,-1036860.808,-155145.4855
Bison,-845452.749,848115.7496
Bison,-1009808.047,77236.2347
Bison,-1060052.517,58948.7255
Bison,-217273.8864,-396165.5426
Bison,-1118293.217,863405.2128
Bison,-541856.3981,-240829.0256
Bison,-953326.0889,-65206.809
Bison,-992098.2155,-147705.8159
Bison,-998175.2867,794541.8034
Bison,-344363.9051,-320200.6792
Bison,-788576.8906,371002.4411
Bison,-832150.1067,340722.6224
Bison,-1033644.419,84585.1529
Bison,-1047681.317,127471.955
Bison,-879887.8319,191034.5659
Bison,-1007181.022,683735.6127
Bison,-480102.6414,772554.1998
Bison,-1027711.701,-11593.198
Bison,-1095803.722,936754.338
Bison,-595654.9906,300788.0888
Bison,-157494.0894,997514.9876
Bison,-695068.9108,1714420.705
Bison,-1115717.123,28512.9859
Bison,-992435.9974,96953.0437
Bison,-1178841.766,1059333.381
Bison,-1040632.162,70970.543
Bison,-823911.3872,-170954.1549
Bison,-473317.6823,692615.0918
Bison,-891758.6621,-48707.857
Bison,-1204151.492,1005163.443
Bison,-803939.1411,-188673.1591
Bison,-690922.5671,105298.7852
Bison,-875176.6945,847082.1399
Bison,-477252.9133,839931.9317
Bison,-1042205.608,-42425.8428
Bison,-768836.421,282345.6717
Bison,-914860.3672,864131.8351
Bison,-914108.0685,62300.1466
Bison,-958693.7361,26961.771
Bison,-694362.7252,106068.1844
Bison,-1058032.687,160736.0822
Bison,-260809.9916,-367544.601
Bison,-646494.0276,1568587.399
Bison,-1018468.226,81149.4213
Bison,-1071366.704,931878.8786
Bison,-736584.8724,-255954.7715
Bison,-391017.7215,-298974.4062
Bison,-758191.5258,-249913.7016
Bison,-887305.6359,236376.5892
Bison,-846279.9068,332865.68
Bison,-689743.181,1743209.253
Bison,-688119.1396,1702069.25
Bison,-430277.0589,906991.7434
Bison,-221875.0677,-451155.2001
Bison,-1051582.115,-200210.236
Bison,149975.122,-240790.1223
Bison,-682890.4736,1007557.302
Bison,-709095.5039,1851460.33
Bison,-1060833.73,-176476.4885
Bison,-742665.4538,123949.9975
Bison,-861725.7957,888528.8696
Bison,-561550.1045,317835.4157
Bison,-1026914.855,-41266.5211
Bison,-547883.4865,800713.7855
Bison,-409314.8208,630463.1539
Bison,-871182.7238,1024167.748
Bison,-342656.7316,907169.6565
Bison,-999701.9329,696376.8836
Bison,-446259.4174,885513.8578
Bison,-942123.0211,154920.237
Bison,-996352.535,846986.4605
Bison,-844251.4215,341244.5012
Bison,-868715.3162,888742.545
Bison,-608403.4455,975866.0849
Bison,-640639.0661,995059.785
Bison,-644156.7415,42652.9738
Bison,-1016103.677,690981.1483
Bison,-940237.4109,-176154.9536
Bison,-318093.1916,-518708.4751
Bison,-202026.2834,-120297.5715
Bison,-56140.6342,407053.0286
Bison,-603261.2052,1294912.716
Bison,-413038.2696,74144.9779
Bison,-846965.3741,335887.9117
Bison,-1023999.18,116467.6684
Bison,-729871.6852,344919.1934
Bison,-879668.7673,886310.8836
Bison,-978170.7063,880083.3877
Bison,-662013.9636,1731669.801
Bison,-659742.5863,1561145.57
Bison,-1051082.198,50997.3015
Bison,-823439.1771,893404.0373
Bison,-1120080.99,769973.1626
Bison,-1028422.615,85145.2158
Bison,-475577.544,161061.0478
Bison,-1015049.567,-133545.5617
Bison,-785239.346,372997.213
Bison,-542146.0328,793247.8
Bison,-920073.4763,786158.2764
Bison,-31962.1237,-449063.826
Bison,-1047049.795,51793.7461
Bison,-829523.2276,1034113.36
Bison,-1091667.955,934144.6758
Bison,-1105185.789,928210.1645
Bison,-419817.9493,357116.604
Bison,65279.9217,-502362.3049
Bison,-413754.2797,75517.1862
Bison,-537000.5724,853950.5353
Bison,-912294.607,-45882.8173
Bison,-981684.3812,966616.5874
Bison,-992548.0792,701907.5605
Bison,-1052318.608,49612.246
Bison,-1039223.33,130402.5782
Bison,-273495.3211,-358890.1506
Bison,-943385.795,485276.0516
Bison,-319497.1438,917577.8639
Bison,-552957.1419,842860.9055
Bison,-846581.0176,332699.6045
Bison,-1012692.996,77886.3688
Bison,-1099234.834,-17115.9395
Bison,-605616.2272,143970.9188
Bison,-1105550.424,57683.8701
Bison,-1048818.718,33256.5551
Bison,-628762.9404,-175487.3596
Bison,-979180.2128,965817.5617
Bison,-926344.4431,865520.1824
Bison,-249430.0767,341190.4814
Bison,-655304.4543,1720307.874
Bison,-466754.5242,697065.7359
Bison,-694775.6285,1778150.87
Bison,-1047228.434,41458.2243
Bison,-620592.5165,895683.5708
Bison,-942943.0665,855082.9927
Bison,-414873.8706,-274275.1192
Bison,-1013954.521,690257.0822
Bison,-929438.3932,983429.5581
Bison,-398180.0586,-292961.9412
Bison,-399135.343,356622.8357
Bison,-1075506.983,-37757.6914
Bison,-703404.7924,1787362.95
Bison,-1036964.88,-46717.24
Bison,-634938.9877,856024.1293
Bison,-1048467.828,-93113.6098
Bison,-552394.055,325138.3899
Bison,-812446.561,890816.9756
Bison,-934244.0866,-164004.4946
Bison,-903351.5803,644686.8692
Bison,-1035777.905,119525.0518
Bison,-193267.9437,739439.0154
Bison,-634490.7592,983098.9648
Bison,-152920.5484,-425982.0012
Bison,-864300.4518,616690.9066
Bison,-710942.11,1761777.624
Bison,-1053865.312,45430.4753
Bison,111625.7836,-213260.5615
Bison,-460781.3419,874438.6674
Bison,-1151012.18,-54899.0558
Bison,-111659.5227,286344.7092
Bison,-778102.9364,1142800.224
Bison,-663343.1797,1741832.756
Bison,-937888.8354,1273.3937
Bison,-989598.6643,-218461.4736
Bison,-1017773.316,690049.4412
Bison,-956208.0434,-65067.483
Bison,-637810.3511,855561.2983
Bison,-948889.1751,791906.5294
Bison,-1188314.988,1048318.368
Bison,-653160.4752,1291020.005
Bison,-1278124.824,-51141.3803
Bison,-1043134.975,26851.3326
Bison,-659998.8304,1713382.468
Bison,-1074244.296,915735.8003
Bison,-438194.8395,892320.8928
Bison,-810334.403,1178911.713
Bison,-671041.3274,1766962.348
Bison,-13960.0312,-76090.5061
Bison,-873402.6483,-112095.3489
Bison,-1007110.278,70051.1706
Bison,-413685.3915,877005.6333
Bison,-39193.06,-436020.7495
Bison,-945893.7394,490395.8386
Bison,-839617.715,338940.3014
Bison,-446393.0057,175743.3239
Bison,-386125.298,357182.2883
Bison,-888358.6969,885649.3368
Bison,-699356.5867,1780266.633
Bison,-475529.7057,703409.1248
Bison,-1075227.888,1052806.417
Bison,-824925.7921,-166363.9268
Bison,-969529.1663,-191358.6483
Bison,-718554.5604,-252971.0447
Bison,-1033313.902,-53806.238
Bison,-1054927.587,54677.1868
Bison,-1122907.957,-17236.2979
Bison,-921150.4268,-106494.194
Bison,-44839.6963,177084.6674
Bison,-722595.6318,1797432.105
Bison,-692046.3958,1781539.602
Bison,-1083249.61,109747.9745
Bison,-905416.9568,-276138.6299
Bison,-387516.0287,900153.8971
Bison,-484426.508,708452.4512
Bison,-1038417.494,84477.8516
Bison,-892751.4381,-205548.2915
Bison,-1000933.528,-44213.3431
Bison,-493007.108,837708.1261
Bison,-856760.0379,901167.2012
Bison,-693864.2022,1089725.613
Bison,-954958.9621,805365.8461
Bison,-874968.107,1214094.736
Bison,-154467.1472,673663.2128
Bison,-442285.5195,-244032.9099
Bison,-1040207.677,83787.7228
Bison,-1039414.796,128852.9272
Bison,-977888.0768,27153.3998
Bison,-490547.9525,81558.9949
Bison,-714137.7698,1780410.773
Bison,-964524.6105,770377.834
Bison,-584511.187,669054.7567
Bison,-837204.7187,343056.5543
Bison,-1104019.638,928834.3352
Bison,-269612.107,-363633.0151
Bison,-661413.3942,1279130.692
Bison,-1005592.248,-129993.9762
Bison,-949814.4216,92346.3673
Bison,-1076589.434,-194239.3425
Bison,-563467.8486,-206035.5597
Bison,-677193.1191,1788254.519
Bison,-930944.4435,-48027.5191
Bison,73720.5041,-486732.7955
Bison,-883119.2246,210589.7092
Bison,-908328.6395,154735.6286
Bison,-964142.8752,753160.4754
Bison,-730753.711,931835.4261
Bison,-563253.0165,78459.2383
Bison,-583358.2964,-252800.0398
Bison,-850437.1344,790465.3545
Bison,-649677.4372,-245074.7255
Bison,-988695.5329,88236.3376
Bison,-949208.6161,85057.6154
Bison,-893729.6767,1025328.379
Bison,-956124.8594,-68764.4945
Bison,-851931.4732,339736.2596
Bison,-847896.5266,796248.355
Bison,-959956.6321,253088.8147
Bison,34691.6558,-104199.8426
Bison,-950964.5466,972696.2091
Bison,-987185.3815,134066.1534
Bison,-987157.4502,101361.782
Bison,-350105.8527,255407.1936
Bison,-75864.3588,216306.3026
Bison,-1146522.069,876994.0557
Bison,-54581.1778,-433133.178
Bison,-813821.6603,-156140.9957
Bison,-853747.1599,900026.824
Bison,-691789.7261,105309.2064
Bison,-851853.7938,794972.1804
Bison,-51426.6504,401790.6942
Bison,-522746.0275,-222313.3281
Bison,-462923.6149,786395.5678
Bison,5617.1427,498470.5182
Bison,-968663.3828,-190121.1654
Bison,-1039542.359,28847.1737
Bison,-655539.53,329845.0378
Bison,-413923.432,659763.5338
Bison,-175676.7659,311534.658
Bison,-1069596.399,-58440.0216
Bison,-558290.3842,886385.3659
Bison,-434797.9427,897428.6462
Bison,-915927.2182,54190.8537
Bison,-764368.5923,383493.8755
Bison,-1514085.531,-7063.4776
Bison,-914489.8127,-290538.9778
Bison,-483213.9985,676012.9463
Bison,-843472.1131,335899.3512
Bison,-980945.6849,-303408.6807
Bison,-511321.0496,325630.9582
Bison,-917319.9733,889083.2465
Bison,-657437.3378,1712147.957
Bison,-781258.0471,376588.1978
Bison,-1022704.976,916419.6811
Bison,-1180267.357,1399959.42
Bison,-433029.692,900360.4039
Bison,-1094152.698,-200117.7882
Bison,-342396.6793,877630.45
Bison,-592854.941,684358.1136
Bison,-850399.0781,1016608.252
Bison,-356554.2976,-313477.9456
Bison,-726002.1188,1581909.429
Bison,-321235.6462,-201546.6276
Bison,-1042463.06,76002.8995
Bison,-886839.0103,793727.5549
Bison,-883246.0024,195942.2124
Bison,-843825.6021,892518.1461
Bison,-1115877.071,902118.6274
Bison,-1020922.501,-31207.1384
Bison,-1083473.687,10762.6226
Bison,-743104.95,1863102.379
Bison,-979722.0985,109849.9217
Bison,-835400.948,-162104.1968
Bison,-536541.2045,320387.846
Bison,-670118.1247,1718055.128
Bison,-634384.2242,-275126.0305
Bison,-681707.8788,1719736.791
Bison,-326560.1988,914903.95
Bison,-897547.4194,790426.2073
Bison,-175750.9093,945735.7768
Bison,-1289009.458,1423562.93
Bison,-1070284.687,-52756.9879
Bison,-866992.7598,1052087.552
Bison,-1039478.711,-157845.7002
Bison,-1062468.442,303852.3417
Bison,-677286.4514,1791069.562
Bison,-961526.2726,-189396.7235
Bison,-908620.0501,-236809.9607
Bison,-834233.18,892769.4098
Bison,-850854.3611,794897.8635
Bison,-77867.9333,325108.1948
Bison,-823459.4227,352423.5301
Bison,-577329.8501,654654.0439
Bison,-247298.4005,-367987.3842
Bison,-966259.3864,692480.3075
Bison,-893157.1524,-89613.2167
Bison,-826242.627,892837.1
Bison,-1041414.11,11678.7755
Bison,-905418.8406,-277478.0531
Bison,-814768.0813,708618.4055
Bison,-811731.3801,-147175.8017
Bison,-924761.9,316305.1448
Bison,-712544.991,1763171.267
Bison,-766167.1306,-227566.8324
Bison,-1067340.968,66792.0847
Bison,-528242.4839,790416.0427
Bison,-722851.942,1011169.394
Bison,-368418.4149,928511.0796
Bison,-1003705.734,-30751.0581
Bison,-996605.4159,92911.6284
Bison,-838098.4748,-156308.3096
Bison,-552804.1967,409709.0491
Bison,-555456.9862,805404.5051
Bison,-1024549.809,873800.6839
Bison,-56860.6103,187798.8352
Bison,-1051950.581,153640.3966
Bison,-981546.2266,102568.6093
Bison,-675237.9011,1772010.696
Bison,-591247.3188,673415.5189
Bison,-1032360.652,-1316.7314
Bison,-1074482.239,1799442.432
Bison,-966957.1682,988341.411
Bison,-449402.0642,883471.3434
Bison,-892213.3701,1022730.727
Bison,-767361.9767,1147253.814
Bison,-294285.0656,-349163.9558
Bison,-845585.2002,338723.9799
Bison,-1093550.621,-209186.7985
Bison,-369368.2442,356009.4022
Bison,-229800.7144,-386345.8197
Bison,-741834.8755,1815641.249
Bison,-761869.5541,1141754.702
Bison,-459419.5062,672490.2983
Bison,-470487.5895,887091.8502
Bison,-924488.3162,861015.0683
Bison,-960780.3655,743102.5093
Bison,-575174.2326,36731.0206
Bison,-1147905.392,883967.597
Bison,-967173.0479,-77895.109
Bison,-16580.9626,509674.8351
Bison,-211262.7406,351325.0895
Bison,-389590.8553,-293559.0415
Bison,-943355.0261,-1280.5666
Bison,-305470.9915,344266.8373
Bison,-634053.9151,-161803.059
Bison,-944043.5181,53474.7993
Bison,-279095.153,349215.2521
Bison,-729727.554,344881.9163
Bison,-494473.7579,674708.6756
Bison,-1056257.728,55762.9614
Bison,-946262.7997,-196094.6686
Bison,-573766.8275,-247427.6671
Bison,-1092303.553,-197801.8702
Bison,-967029.6884,989007.913
Bison,-472750.5629,843555.4127
Bison,-659851.5914,1728489.333
Bison,-1169609.266,2078873.27
Bison,-826724.5299,976316.2759
Bison,-331643.339,860014.8773
Bison,-959705.2063,-72084.1265
Bison,-712968.7152,1839391.679
Bison,-1004436.017,913520.0476
Bison,-644560.6879,997062.2768
Bison,-167036.741,-410006.819
Bison,-437063.4879,893421.0943
Bison,-437590.3715,893659.3905
Bison,-984313.3475,102394.8187
Bison,-852345.5638,795827.6673
Bison,-1017193.74,-153348.3219
Bison,-1088154.218,-197080.7167
Bison,-663958.3899,1752633.985
Bison,-926080.1016,972280.2681
Bison,-832026.2053,-164094.0939
Bison,-39031.4903,63895.7619
Bison,-951998.6357,-70993.6279
Bison,-782021.686,375567.7082
Bison,-561262.1907,800958.8283
Bison,-703872.7516,1788076.42
Bison,-836018.9554,342315.1842
Bison,-893743.8307,-98615.7993
Bison,-692630.5459,105495.2449
Bison,-892692.5683,1025849.895
Bison,-1016593.415,846453.4988
Bison,-19912.278,-455983.4688
Bison,-541201.9899,-241349.4655
Bison,-517811.0604,320103.1437
Bison,-1018435.713,-136876.7482
Bison,-320880.0051,-332399.6502
Bison,-892619.0939,1025685.067
Bison,-664305.5984,1744990.316
Bison,-1004559.571,763590.7101
Bison,-387659.4925,214465.82
Bison,-1108114.769,61074.4519
Bison,51673.0508,-113736.6037
Bison,-43082.8814,-444865.4066
Bison,-848631.6505,1017346.634
Bison,-431350.0122,664631.0218
Bison,-1176412.893,1057202.13
Bison,-970606.0977,-194773.1533
Bison,-933756.027,-241187.9265
Bison,20115.0451,-477134.589
Bison,-736451.9047,1026176.263
Bison,-1022617.261,999120.9713
Bison,-711967.7523,1774928.842
Bison,-418945.4487,857062.0116
Bison,-709311.0602,1777376.589
Bison,-958960.217,130220.1979
Bison,-357366.2625,-309339.5893
Bison,-1027340.618,-11449.2832
Bison,-789874.3532,-108809.6373
Bison,-894920.9042,-49323.3157
Bison,-983692.0439,126534.7028
